Size    Alg1		Alg2		Alg3		Alg4
----------------------------------------------------------------
100 	0.000048 	0.000071 	0.000204 	0.000205
200 	0.000080 	0.000142 	0.000406 	0.000427
300 	0.000132 	0.000208 	0.000624 	0.000640
400 	0.000158 	0.000279 	0.000829 	0.000891
500 	0.000205 	0.000352 	0.001029 	0.001090
600 	0.000247 	0.000426 	0.001244 	0.001356
700 	0.000275 	0.000497 	0.001471 	0.001556
800 	0.000321 	0.000562 	0.001669 	0.001808
900 	0.000359 	0.000646 	0.001898 	0.002022
1000 	0.000397 	0.000736 	0.002118 	0.002253
2000 	0.000806 	0.001521 	0.004337 	0.004686
3000 	0.001202 	0.002341 	0.006573 	0.007170
4000 	0.001639 	0.003239 	0.008775 	0.009639
5000 	0.002064 	0.004109 	0.011191 	0.012194
6000 	0.002505 	0.005031 	0.013523 	0.015289
7000 	0.002942 	0.006053 	0.015657 	0.017358
8000 	0.003422 	0.006966 	0.017911 	0.019886
9000 	0.003974 	0.007976 	0.020761 	0.022506
10000 	0.004731 	0.009098 	0.022931 	0.025944
